,Oppositionteam,Team,ballsFaced,city,date,fours,fullName,media,minutes,name,runs,sixes,strikeRate
0,New,Australia,3,Auckland,2005-02-17,0,Adam Gilchrist,,7,AC Gilchrist,1,0,33.33
1,New,Australia,4,Auckland,2005-02-17,0,Michael Clarke,,4,MJ Clarke,7,1,175.00
2,New,Australia,13,Auckland,2005-02-17,4,Andrew Symonds,,12,A Symonds,32,2,246.15
3,New,Australia,55,Auckland,2005-02-17,8,Ricky Ponting,,62,RT Ponting,98,5,178.18
4,New,Australia,5,Auckland,2005-02-17,0,Damien Martyn,,4,DR Martyn,3,0,60.00
5,New,Australia,25,Auckland,2005-02-17,2,Simon Katich,,29,SM Katich,30,1,120.00
6,New,Australia,15,Auckland,2005-02-17,1,Michael Hussey,,18,MEK Hussey,31,3,206.66
0,Australia,New,24,Auckland,2005-02-17,5,Brendon McCullum,,29,BB McCullum,36,1,150.00
1,Australia,New,13,Auckland,2005-02-17,3,Stephen Fleming,,19,SP Fleming,18,0,138.46
2,Australia,New,1,Auckland,2005-02-17,0,Mathew Sinclair,,1,MS Sinclair,0,0,0.00
3,Australia,New,39,Auckland,2005-02-17,5,Scott Styris,,46,SB Styris,66,3,169.23
4,Australia,New,8,Auckland,2005-02-17,0,Craig McMillan,,10,CD McMillan,9,1,112.50
5,Australia,New,4,Auckland,2005-02-17,0,Chris Cairns,,2,CL Cairns,1,0,25.00
6,Australia,New,7,Auckland,2005-02-17,0,Hamish Marshall,,5,HJH Marshall,8,0,114.28
7,Australia,New,7,Auckland,2005-02-17,1,Andre Adams,,4,AR Adams,7,0,100.00
8,Australia,New,14,Auckland,2005-02-17,2,Jeff Wilson,,12,JW Wilson,18,0,128.57
9,Australia,New,1,Auckland,2005-02-17,0,Kyle Mills,,4,KD Mills,0,0,0.00
10,Australia,New,2,Auckland,2005-02-17,1,Daryl Tuffey,,2,DR Tuffey,5,0,250.00
0,Australia,England,37,Southampton,2005-06-13,5,Marcus Trescothick,,55,ME Trescothick,41,0,110.81
1,Australia,England,14,Southampton,2005-06-13,4,Geraint Jones,,17,GO Jones,19,0,135.71
2,Australia,England,5,Southampton,2005-06-13,0,Andrew Flintoff,,9,A Flintoff,6,0,120.00
3,Australia,England,18,Southampton,2005-06-13,3,Kevin Pietersen,,19,KP Pietersen,34,1,188.88
4,Australia,England,1,Southampton,2005-06-13,0,Michael Vaughan,,2,MP Vaughan,0,0,0.00
5,Australia,England,26,Southampton,2005-06-13,5,Paul Collingwood,,28,PD Collingwood,46,2,176.92
6,Australia,England,16,Southampton,2005-06-13,1,Sir Andrew Strauss,,15,AJ Strauss,18,0,112.50
7,Australia,England,5,Southampton,2005-06-13,1,Vikram Solanki,,5,VS Solanki,9,0,180.00
8,Australia,England,0,Southampton,2005-06-13,0,Jon Lewis,,1,J Lewis,0,0,-
0,England,Australia,14,Southampton,2005-06-13,3,Adam Gilchrist,,11,AC Gilchrist,15,0,107.14
1,England,Australia,4,Southampton,2005-06-13,1,Matthew Hayden,,12,ML Hayden,6,0,150.00
2,England,Australia,2,Southampton,2005-06-13,0,Andrew Symonds,,5,A Symonds,0,0,0.00
3,England,Australia,1,Southampton,2005-06-13,0,Michael Clarke,,1,MJ Clarke,0,0,0.00
4,England,Australia,6,Southampton,2005-06-13,0,Michael Hussey,,6,MEK Hussey,1,0,16.66
5,England,Australia,3,Southampton,2005-06-13,0,Ricky Ponting,,6,RT Ponting,0,0,0.00
6,England,Australia,4,Southampton,2005-06-13,1,Damien Martyn,,6,DR Martyn,4,0,100.00
7,England,Australia,20,Southampton,2005-06-13,1,Brett Lee,,29,B Lee,15,0,75.00
8,England,Australia,18,Southampton,2005-06-13,4,Jason Gillespie,,18,JN Gillespie,24,0,133.33
9,England,Australia,5,Southampton,2005-06-13,0,Michael Kasprowicz,,16,MS Kasprowicz,3,0,60.00
10,England,Australia,12,Southampton,2005-06-13,0,Glenn McGrath,,9,GD McGrath,5,0,41.66
0,New,South,43,Johannesburg,2005-10-21,10,Graeme Smith,,39,GC Smith,61,1,141.86
1,New,South,18,Johannesburg,2005-10-21,1,Jacques Kallis,,43,JH Kallis,20,1,111.11
2,New,South,7,Johannesburg,2005-10-21,1,Herschelle Gibbs,,10,HH Gibbs,9,0,128.57
3,New,South,11,Johannesburg,2005-10-21,1,Justin Kemp,,11,JM Kemp,8,0,72.72
4,New,South,8,Johannesburg,2005-10-21,0,Mark Boucher,,14,MV Boucher,4,0,50.00
5,New,South,2,Johannesburg,2005-10-21,0,Shaun Pollock,,3,SM Pollock,0,0,0.00
6,New,South,6,Johannesburg,2005-10-21,0,Ashwell Prince,,13,AG Prince,5,0,83.33
7,New,South,12,Johannesburg,2005-10-21,0,Albie Morkel,,16,JA Morkel,11,1,91.66
8,New,South,4,Johannesburg,2005-10-21,0,Charl Langeveldt,,5,CK Langeveldt,2,0,50.00
9,New,South,6,Johannesburg,2005-10-21,1,Makhaya Ntini,,8,M Ntini,5,0,83.33
10,New,South,2,Johannesburg,2005-10-21,0,Andre Nel,,3,A Nel,0,0,0.00
0,South,New,25,Johannesburg,2005-10-21,6,Stephen Fleming,,30,SP Fleming,31,0,124.00
1,South,New,10,Johannesburg,2005-10-21,1,Nathan Astle,,23,NJ Astle,10,0,100.00
2,South,New,3,Johannesburg,2005-10-21,0,Hamish Marshall,,4,HJH Marshall,3,0,100.00
3,South,New,19,Johannesburg,2005-10-21,1,Craig McMillan,,26,CD McMillan,15,0,78.94
4,South,New,28,Johannesburg,2005-10-21,2,Scott Styris,,39,SB Styris,24,0,85.71
5,South,New,16,Johannesburg,2005-10-21,1,Jacob Oram,,28,JDP Oram,23,2,143.75
6,South,New,9,Johannesburg,2005-10-21,1,Brendon McCullum,,10,BB McCullum,17,1,188.88
0,South,Australia,20,Brisbane,2006-01-09,2,James Hopes,,25,JR Hopes,17,0,85.00
1,South,Australia,56,Brisbane,2006-01-09,7,Damien Martyn,,79,DR Martyn,96,5,171.42
2,South,Australia,18,Brisbane,2006-01-09,2,Ricky Ponting,,22,RT Ponting,27,2,150.00
3,South,Australia,26,Brisbane,2006-01-09,6,Andrew Symonds,,32,A Symonds,54,2,207.69
4,South,Australia,0,Brisbane,2006-01-09,0,Michael Clarke,,3,MJ Clarke,0,0,-
0,Australia,South,26,Brisbane,2006-01-09,3,Graeme Smith,,32,GC Smith,22,0,84.61
1,Australia,South,5,Brisbane,2006-01-09,0,Boeta Dippenaar,,7,HH Dippenaar,1,0,20.00
2,Australia,South,2,Brisbane,2006-01-09,0,Herschelle Gibbs,,1,HH Gibbs,0,0,0.00
3,Australia,South,21,Brisbane,2006-01-09,5,Mark Boucher,,30,MV Boucher,29,0,138.09
4,Australia,South,17,Brisbane,2006-01-09,2,Shaun Pollock,,21,SM Pollock,24,1,141.17
5,Australia,South,13,Brisbane,2006-01-09,1,Jacques Kallis,,12,JH Kallis,15,1,115.38
6,Australia,South,7,Brisbane,2006-01-09,0,Jacques Rudolph,,19,JA Rudolph,6,0,85.71
7,Australia,South,10,Brisbane,2006-01-09,1,Andrew Hall,,6,AJ Hall,11,0,110.00
8,Australia,South,4,Brisbane,2006-01-09,0,Johan Botha,,3,J Botha,2,0,50.00
9,Australia,South,5,Brisbane,2006-01-09,0,Garnett Kruger,,3,GJP Kruger,3,0,60.00
10,Australia,South,1,Brisbane,2006-01-09,0,Monde Zondeki,,1,M Zondeki,0,0,0.00
0,New,West,12,Auckland,2006-02-16,2,Chris Gayle,,14,CH Gayle,10,0,83.33
1,New,West,31,Auckland,2006-02-16,3,Daren Ganga,,39,D Ganga,26,1,83.87
2,New,West,9,Auckland,2006-02-16,0,Runako Morton,,14,RS Morton,4,0,44.44
3,New,West,4,Auckland,2006-02-16,1,Dwayne Smith,,4,DR Smith,8,0,200.00
4,New,West,18,Auckland,2006-02-16,1,Wavell Hinds,,21,WW Hinds,14,0,77.77
5,New,West,27,Auckland,2006-02-16,2,Shivnarine Chanderpaul,,33,S Chanderpaul,26,0,96.29
6,New,West,16,Auckland,2006-02-16,2,Dwayne Bravo,,25,DJ Bravo,19,0,118.75
7,New,West,4,Auckland,2006-02-16,2,Denesh Ramdin,,5,D Ramdin,9,0,225.00
8,New,West,0,Auckland,2006-02-16,0,Ian Bradshaw,,1,IDR Bradshaw,0,0,-
0,West,New,37,Auckland,2006-02-16,5,Lou Vincent,,57,L Vincent,42,1,113.51
1,West,New,7,Auckland,2006-02-16,1,Stephen Fleming,,9,SP Fleming,6,0,85.71
2,West,New,7,Auckland,2006-02-16,1,Nathan Astle,,16,NJ Astle,5,0,71.42
3,West,New,16,Auckland,2006-02-16,2,Scott Styris,,15,SB Styris,19,1,118.75
4,West,New,9,Auckland,2006-02-16,0,Chris Cairns,,7,CL Cairns,2,0,22.22
5,West,New,17,Auckland,2006-02-16,0,Peter Fulton,,25,PG Fulton,16,0,94.11
6,West,New,4,Auckland,2006-02-16,0,Hamish Marshall,,4,HJH Marshall,1,0,25.00
7,West,New,10,Auckland,2006-02-16,0,Brendon McCullum,,8,BB McCullum,4,0,40.00
8,West,New,9,Auckland,2006-02-16,0,James Franklin,,14,JEC Franklin,13,1,144.44
9,West,New,4,Auckland,2006-02-16,1,Shane Bond,,9,SE Bond,8,0,200.00
0,Australia,South,58,Johannesburg,2006-02-24,11,Graeme Smith,,89,GC Smith,89,1,153.44
1,Australia,South,18,Johannesburg,2006-02-24,3,Loots Bosman,,26,LE Bosman,23,1,127.77
2,Australia,South,34,Johannesburg,2006-02-24,4,Herschelle Gibbs,,46,HH Gibbs,56,4,164.70
3,Australia,South,3,Johannesburg,2006-02-24,0,Shaun Pollock,,4,SM Pollock,2,0,66.66
4,Australia,South,7,Johannesburg,2006-02-24,1,Johan van der Wath,,10,JJ van der Wath,14,1,200.00
5,Australia,South,0,Johannesburg,2006-02-24,0,AB de Villiers,,3,AB de Villiers,0,0,-
0,South,Australia,2,Johannesburg,2006-02-24,0,Adam Gilchrist,,6,AC Gilchrist,1,0,50.00
1,South,Australia,22,Johannesburg,2006-02-24,6,Simon Katich,,42,SM Katich,39,1,177.27
2,South,Australia,8,Johannesburg,2006-02-24,1,Ricky Ponting,,11,RT Ponting,6,0,75.00
3,South,Australia,9,Johannesburg,2006-02-24,3,Damien Martyn,,11,DR Martyn,17,0,188.88
4,South,Australia,24,Johannesburg,2006-02-24,0,Michael Clarke,,33,MJ Clarke,37,3,154.16
5,South,Australia,6,Johannesburg,2006-02-24,0,Shane Watson,,9,SR Watson,4,0,66.66
