,Oppositionteam,Team,city,conceded,date,dots,economyRate,foursConceded,fullName,maidens,media,name,noballs,overs,sixesConceded,wickets,wides
0,New,New,Auckland,50,2005-02-17,9,12.50,2,Daryl Tuffey,0,,DR Tuffey,0,4,5,1,1
1,New,New,Auckland,44,2005-02-17,7,11.00,5,Kyle Mills,0,,KD Mills,0,4,2,3,2
2,New,New,Auckland,28,2005-02-17,4,7.00,2,Chris Cairns,0,,CL Cairns,0,4,0,1,0
3,New,New,Auckland,43,2005-02-17,6,10.75,4,Jeff Wilson,0,,JW Wilson,0,4,2,0,0
4,New,New,Auckland,40,2005-02-17,6,10.00,2,Andre Adams,0,,AR Adams,0,4,3,0,0
0,New,New,Auckland,26,2005-02-17,13,6.50,4,Brett Lee,0,,B Lee,0,4,0,1,1
1,New,New,Auckland,48,2005-02-17,5,12.00,5,Glenn McGrath,0,,GD McGrath,0,4,2,2,0
2,New,New,Auckland,29,2005-02-17,10,7.25,2,Michael Kasprowicz,0,,MS Kasprowicz,0,4,1,4,1
3,New,New,Auckland,23,2005-02-17,6,7.66,1,James Hopes,0,,JR Hopes,0,3,1,1,0
4,New,New,Auckland,33,2005-02-17,4,11.00,4,Andrew Symonds,0,,A Symonds,0,3,1,1,0
5,New,New,Auckland,11,2005-02-17,4,5.50,1,Michael Clarke,0,,MJ Clarke,0,2,0,0,0
0,Australia,Australia,Southampton,31,2005-06-13,6,10.33,4,Brett Lee,0,,B Lee,2,3,0,0,1
1,Australia,Australia,Southampton,31,2005-06-13,10,7.75,4,Glenn McGrath,0,,GD McGrath,0,4,0,3,1
2,Australia,Australia,Southampton,28,2005-06-13,2,9.33,3,Michael Kasprowicz,0,,MS Kasprowicz,0,3,0,1,0
3,Australia,Australia,Southampton,49,2005-06-13,5,12.25,6,Jason Gillespie,0,,JN Gillespie,0,4,2,1,1
4,Australia,Australia,Southampton,25,2005-06-13,4,8.33,1,Michael Clarke,0,,MJ Clarke,0,3,1,1,0
5,Australia,Australia,Southampton,14,2005-06-13,7,4.66,1,Andrew Symonds,0,,A Symonds,0,3,0,2,0
0,Australia,Australia,Southampton,16,2005-06-13,13,5.33,3,Darren Gough,0,,D Gough,1,3,0,3,0
1,Australia,Australia,Southampton,24,2005-06-13,14,6.00,3,Jon Lewis,0,,J Lewis,0,4,0,4,0
2,Australia,Australia,Southampton,13,2005-06-13,9,5.20,2,Steve Harmison,0,,SJ Harmison,1,2.3,0,1,0
3,Australia,Australia,Southampton,15,2005-06-13,10,5.00,2,Andrew Flintoff,0,,A Flintoff,0,3,0,0,1
4,Australia,Australia,Southampton,8,2005-06-13,6,4.00,0,Paul Collingwood,0,,PD Collingwood,0,2,0,2,0
0,New,New,Johannesburg,25,2005-10-21,-,7.14,-,Shane Bond,0,,SE Bond,0,3.3,-,2,0
1,New,New,Johannesburg,38,2005-10-21,-,9.50,-,Kyle Mills,0,,KD Mills,1,4,-,0,1
2,New,New,Johannesburg,27,2005-10-21,-,6.75,-,Andre Adams,0,,AR Adams,0,4,-,1,0
3,New,New,Johannesburg,20,2005-10-21,-,5.00,-,Nathan Astle,0,,NJ Astle,0,4,-,3,0
4,New,New,Johannesburg,20,2005-10-21,-,5.00,-,Jeetan Patel,0,,JS Patel,1,4,-,3,0
0,New,New,Johannesburg,16,2005-10-21,-,5.33,-,Shaun Pollock,0,,SM Pollock,0,3,-,0,1
1,New,New,Johannesburg,21,2005-10-21,-,10.50,-,Makhaya Ntini,0,,M Ntini,0,2,-,0,0
